type,val,cat1,cat2,pval
doc_claimant,Mitt Romney,correct_true_all_10,correct_false_all_10,4.646529858626453e-05
doc_claimant,Michelle Rowland,wrong_false_all_10,correct_false_all_10,7.744216431044088e-06
doc_claimant,Mary Burke,wrong_false_all_10,correct_false_all_10,7.744216431044088e-06
doc_claimant,Graeme Zielinski,wrong_false_all_10,correct_false_all_10,7.744216431044088e-06
doc_claimant,Anthony Albanese,wrong_true_all_10,wrong_false_all_10,
doc_claimant,Anthony Albanese,wrong_true_all_10,correct_true_all_10,
doc_claimant,Anthony Albanese,wrong_true_all_10,correct_false_all_10,0.03701939592326499
doc_claimant,Anthony Albanese,wrong_false_all_10,correct_true_all_10,
doc_claimant,Anthony Albanese,wrong_false_all_10,correct_false_all_10,0.0015643777971318992
doc_claimant,Anthony Albanese,correct_true_all_10,correct_false_all_10,0.03701939592326499
doc_date,2014,wrong_true_all_10,wrong_false_all_10,0.029998518608002414
doc_date,2014,wrong_true_all_10,correct_false_all_10,1.0
doc_date,2014,wrong_true_all_10,correct_true_all_10,0.23655499577665756
doc_date,2014,wrong_false_all_10,correct_false_all_10,0.0020171610284881528
doc_date,2014,wrong_false_all_10,correct_true_all_10,1.0
doc_date,2014,correct_false_all_10,correct_true_all_10,0.03465298853583127
doc_date,2013,wrong_true_all_10,wrong_false_all_10,0.006184328065737724
doc_date,2013,wrong_true_all_10,correct_false_all_10,1.0
doc_date,2013,wrong_true_all_10,correct_true_all_10,1.0
doc_date,2013,wrong_false_all_10,correct_false_all_10,0.17964070461847842
doc_date,2013,wrong_false_all_10,correct_true_all_10,0.3242071037460743
doc_date,2013,correct_false_all_10,correct_true_all_10,1.0
doc_date,2012,wrong_true_all_10,wrong_false_all_10,0.2146666268318443
doc_date,2012,wrong_true_all_10,correct_false_all_10,0.000318566865366189
doc_date,2012,wrong_true_all_10,correct_true_all_10,0.0035812191685716133
doc_date,2012,wrong_false_all_10,correct_false_all_10,0.0016567253669591856
doc_date,2012,wrong_false_all_10,correct_true_all_10,0.1228859625251413
doc_date,2012,correct_false_all_10,correct_true_all_10,1.0
doc_date,2011,wrong_true_all_10,wrong_false_all_10,0.5734842272737761
doc_date,2011,wrong_true_all_10,correct_false_all_10,5.484779044947976e-09
doc_date,2011,wrong_true_all_10,correct_true_all_10,0.12552801202676403
doc_date,2011,wrong_false_all_10,correct_false_all_10,5.78014205185857e-06
doc_date,2011,wrong_false_all_10,correct_true_all_10,1.0
doc_date,2011,correct_false_all_10,correct_true_all_10,0.0002673425436243367
doc_date,2010,wrong_true_all_10,wrong_false_all_10,0.0233545027366718
doc_date,2010,wrong_true_all_10,correct_false_all_10,0.0233545027366718
doc_date,2010,wrong_true_all_10,correct_true_all_10,1.0
doc_date,2010,wrong_false_all_10,correct_false_all_10,
doc_date,2010,wrong_false_all_10,correct_true_all_10,0.0233545027366718
doc_date,2010,correct_false_all_10,correct_true_all_10,0.0233545027366718
